     tides     mass         prob
  3.510050 1.255276 1.062548e-08
  3.510050 1.261307 3.541828e-09
  3.510050 1.267337 3.541828e-09
  3.510050 1.273367 3.541828e-09
  3.510050 1.279397 3.541828e-09
  3.510050 1.285427 0.000000e+00
  3.510050 1.291457 0.000000e+00
  3.510050 1.297487 3.541828e-09
  3.510050 1.303518 7.083655e-09
  3.510050 1.309548 1.062548e-08
  3.510050 1.315578 3.541828e-09
  3.510050 1.321608 1.062548e-08
  3.510050 1.327638 3.541828e-09
  3.510050 1.333668 7.083655e-09
  3.510050 1.339698 7.083655e-09
  3.510050 1.345729 3.541828e-09
  3.510050 1.351759 2.125097e-08
  3.510050 1.357789 1.062548e-08
  3.510050 1.363819 0.000000e+00
  3.510050 1.369849 1.062548e-08
  3.510050 1.375879 3.541828e-09
  3.510050 1.381910 2.833462e-08
  3.510050 1.387940 1.770914e-08
  3.510050 1.393970 1.416731e-08
  3.510050 1.400000 7.083655e-09
  3.510050 1.406030 1.770914e-08
  3.510050 1.412060 1.416731e-08
  3.510050 1.418090 1.416731e-08
  3.510050 1.424121 3.541828e-08
  3.510050 1.430151 2.479279e-08
  3.510050 1.436181 1.416731e-08
  3.510050 1.442211 1.062548e-08
  3.510050 1.448241 1.770914e-08
  3.510050 1.454271 2.833462e-08
  3.510050 1.460302 2.479279e-08
  3.510050 1.466332 3.541828e-08
  3.510050 1.472362 2.125097e-08
  3.510050 1.478392 2.125097e-08
  3.510050 1.484422 1.770914e-08
  3.510050 1.490452 2.833462e-08
  3.510050 1.496482 2.125097e-08
  3.510050 1.502513 4.250193e-08
  3.510050 1.508543 3.896010e-08
  3.510050 1.514573 4.250193e-08
  3.510050 1.520603 2.125097e-08
  3.510050 1.526633 3.541828e-08
  3.510050 1.532663 6.375290e-08
  3.510050 1.538693 4.604376e-08
  3.510050 1.544724 4.250193e-08
  3.510050 1.550754 4.958559e-08
  3.510050 1.556784 6.729472e-08
  3.510050 1.562814 6.021107e-08
  3.510050 1.568844 6.375290e-08
  3.510050 1.574874 4.604376e-08
  3.510050 1.580905 7.083655e-08
  3.510050 1.586935 9.562934e-08
  3.510050 1.592965 6.375290e-08
  3.510050 1.598995 1.133385e-07
  3.510050 1.605025 8.146203e-08
  3.510050 1.611055 9.562934e-08
  3.510050 1.617085 1.275058e-07
  3.510050 1.623116 1.275058e-07
  3.510050 1.629146 1.522986e-07
  3.510050 1.635176 1.275058e-07
  3.510050 1.641206 1.735496e-07
